date,asset,price,volume
2010-01-04 00:00:00+00:00,Equity(167 [AMZN]),133.9,7599900.0
2010-01-04 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-04 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-05 00:00:00+00:00,Equity(167 [AMZN]),134.69,8851900.0
2010-01-05 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-05 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-06 00:00:00+00:00,Equity(167 [AMZN]),132.25,7178800.0
2010-01-06 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-06 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-07 00:00:00+00:00,Equity(167 [AMZN]),130.0,11030200.0
2010-01-07 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-07 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-08 00:00:00+00:00,Equity(167 [AMZN]),133.52,9830500.0
2010-01-08 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-08 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-11 00:00:00+00:00,Equity(167 [AMZN]),130.308,8779400.0
2010-01-11 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-11 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-12 00:00:00+00:00,Equity(167 [AMZN]),127.35,9096300.0
2010-01-12 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-12 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-13 00:00:00+00:00,Equity(167 [AMZN]),129.11,10723200.0
2010-01-13 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-13 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-14 00:00:00+00:00,Equity(167 [AMZN]),127.35,9774900.0
2010-01-14 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-14 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-15 00:00:00+00:00,Equity(167 [AMZN]),127.14,15376500.0
2010-01-15 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-15 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-19 00:00:00+00:00,Equity(167 [AMZN]),127.61,8892600.0
2010-01-19 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-19 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-20 00:00:00+00:00,Equity(167 [AMZN]),125.78,9074700.0
2010-01-20 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-20 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-21 00:00:00+00:00,Equity(167 [AMZN]),126.62,9970600.0
2010-01-21 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-21 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-22 00:00:00+00:00,Equity(167 [AMZN]),121.43,11568900.0
2010-01-22 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-22 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-25 00:00:00+00:00,Equity(167 [AMZN]),120.31,12023900.0
2010-01-25 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-25 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-26 00:00:00+00:00,Equity(167 [AMZN]),119.48,9559000.0
2010-01-26 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-26 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-27 00:00:00+00:00,Equity(167 [AMZN]),122.75,14765300.0
2010-01-27 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-27 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-28 00:00:00+00:00,Equity(167 [AMZN]),126.03,27293100.0
2010-01-28 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-28 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-01-29 00:00:00+00:00,Equity(167 [AMZN]),125.41,29471300.0
2010-01-29 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-01-29 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-01 00:00:00+00:00,Equity(167 [AMZN]),118.87,37774400.0
2010-02-01 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-01 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-02 00:00:00+00:00,Equity(167 [AMZN]),118.12,23079700.0
2010-02-02 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-02 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-03 00:00:00+00:00,Equity(167 [AMZN]),119.1,12405900.0
2010-02-03 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-03 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-04 00:00:00+00:00,Equity(167 [AMZN]),115.94,12784000.0
2010-02-04 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-04 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-05 00:00:00+00:00,Equity(167 [AMZN]),117.39,11024800.0
2010-02-05 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-05 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-08 00:00:00+00:00,Equity(167 [AMZN]),116.83,9890200.0
2010-02-08 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-08 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-09 00:00:00+00:00,Equity(167 [AMZN]),118.03,9223000.0
2010-02-09 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-09 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-10 00:00:00+00:00,Equity(167 [AMZN]),117.36,6233200.0
2010-02-10 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-10 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-11 00:00:00+00:00,Equity(167 [AMZN]),120.09,8343500.0
2010-02-11 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-11 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-12 00:00:00+00:00,Equity(167 [AMZN]),119.66,8073500.0
2010-02-12 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-12 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-16 00:00:00+00:00,Equity(167 [AMZN]),117.53,8932700.0
2010-02-16 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-16 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-17 00:00:00+00:00,Equity(167 [AMZN]),116.31,8944800.0
2010-02-17 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-17 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-18 00:00:00+00:00,Equity(167 [AMZN]),118.08,9800100.0
2010-02-18 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-18 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-19 00:00:00+00:00,Equity(167 [AMZN]),117.52,7115600.0
2010-02-19 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-19 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-22 00:00:00+00:00,Equity(167 [AMZN]),118.01,6807300.0
2010-02-22 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-22 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-23 00:00:00+00:00,Equity(167 [AMZN]),117.24,7068200.0
2010-02-23 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-23 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-24 00:00:00+00:00,Equity(167 [AMZN]),119.72,7389900.0
2010-02-24 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-24 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-25 00:00:00+00:00,Equity(167 [AMZN]),118.2,9533400.0
2010-02-25 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-25 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-02-26 00:00:00+00:00,Equity(167 [AMZN]),118.4,5721600.0
2010-02-26 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-02-26 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-03-01 00:00:00+00:00,Equity(167 [AMZN]),124.54,13296500.0
2010-03-01 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-03-01 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-03-02 00:00:00+00:00,Equity(167 [AMZN]),125.53,12097500.0
2010-03-02 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-03-02 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-03-03 00:00:00+00:00,Equity(167 [AMZN]),125.89,6440400.0
2010-03-03 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-03-03 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-03-04 00:00:00+00:00,Equity(167 [AMZN]),128.53,7509700.0
2010-03-04 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-03-04 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-03-05 00:00:00+00:00,Equity(167 [AMZN]),128.91,6769300.0
2010-03-05 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-03-05 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-03-08 00:00:00+00:00,Equity(167 [AMZN]),130.11,5605900.0
2010-03-08 00:00:00+00:00,Equity(1037 [FB]),,0.0
2010-03-08 00:00:00+00:00,Equity(1244 [GOOG]),,0.0
2010-03-09 00:00:00+00:00,Equity(167 [AMZN]),128.82,6070800.0
2010-03-09 00:00:00+00:00,Equity(1037 [FB]),,0.0
